dist_code,district,Populations
19_1,Adilabad,117167
22_2,Bhadradri Kothagudem,0
21_1,Hanamkonda,0
16_1,"Hyderabad district, India",3943323
20_2,Jagtial,103930
21_3,Jangaon,52394
21_7,Jayashankar Bhupalpally,0
14_2,Jogulamba Gadwal,0
18_2,Kamareddy,80315
20_1,Karimnagar district,3776269
22_1,Khammam,196283
19_4,Kumurambheem Asifabad,0
21_5,Mahabubabad,42851
14_1,Mahabubnagar district,4053028
19_3,Mancherial,89935
17_1,Medak,44255
15_2,Medchal_Malkajgiri,0
21_6,Mulugu district,257744
14_3,Nagarkurnool,77264
23_1,Nalgonda,154326
14_5,Narayanpet,41752
19_2,Nirmal,88433
18_1,Nizamabad,0
20_4,Peddapalli,41171
20_3,Rajanna Sircilla,0
15_1,Rangareddy,0
17_2,Sangareddy,56691
17_3,Siddipet,66737
23_2,Suryapet,106805
15_3,Vikarabad,53143
14_4,Wanaparthy,60949
21_2,Warangal,704570
23_3,Yadadri Bhuvanagiri,0
